  BANCO   : 133 - CRESOL CONFEDERACAO|||
|||
AGENCIA  | TITULO  | UF| PRACA DE PAGAMENTO 
1|CONFESOL|SC|FLORIANOPOLIS
1000|CENTRAL CRESOL BASER|PR|FRANCISCO BELTRAO
1001|CRESOL FRANCISCO BELTRAO|PR|FRANCISCO BELTRAO
1002|CRESOL MARMELEIRO|PR|MARMELEIRO
1003|CRESOL PIONEIRA|PR|DOIS VIZINHOS
1004|CRESOL LARANJEIRAS DO SUL|PR|LARANJEIRAS DO SUL
1005|CRESOL UNIÃO DO PINHAIS|PR|CORONEL VIVIDA
1006|AGENCIA CHOPINZINHO|PR|CHOPINZINHO
1007|AGENCIA HONÓRIO SERPA|PR|HONORIO SERPA
1008|CRESOL PROGRESSO|PR|CASCAVEL
1009|CRESOL LIDERANÇA|PR|CHOPINZINHO
1010|AGENCIA  MANGUEIRINHA|PR|MANGUEIRINHA
1011|CRESOL PA PINHAO|PR|PINHAO
1012|AGENCIA CAPANEMA|PA|CAPANEMA
1013|AGENCIA PITANGA|PR|PITANGA
1014|AGENCIA NOVA PRATA DO IGUACU|PR|NOVA PRATA DO IGUA
1016|AGENCIA AMPÉRE|PR|AMPERE
1017|AGENCIA PRANCHITA|PR|PRANCHITA
1018|CRESOL VERE|PR|VERE
1019|CRESOL VALE DAS ARAUCARIAS|SC|TURVO
1020|CRESOL CANDOI|PR|CANDOI
1021|AGENCIA SANTIAGO DO SUL|SC|SANTIAGO DO SUL
1023|AGENCIA PLANALTO|PR|PLANALTO
1024|AGENCIA IBEMA|PR|IBEMA
1025|AGENCIA TRES BARRAS DO PARANA|PR|TRES BARRAS DO PAR
1026|CRESOL TRADIÇÃO|PR|FRANCISCO BELTRAO
1027|CRESOL SALGADO FILHO|PR|SALGADO FILHO
1028|AGENCIA S ANTONIO DO SUDOESTE|PR|SANTO ANTONIO DO S
1031|CRESOL VALE DAS ÁGUAS|PR|LARANJEIRAS DO SUL
1032|AGENCIA ITAPEJARA D´OESTE|PR|ITAPEJARA D'OESTE
1033|AGENCIA SALTO DO LONTRA|PR|SALTO DO LONTRA
1034|AGENCIA PÉROLA D' OESTE|PR|PEROLA D'OESTE
1036|AGENCIA GUARANIACU|PR|GUARANIACU
1038|CRESOL UNIÃO DOS VALES|PR|IVAIPORA
1039|AGENCIA XAXIM|SC|XAXIM
1040|CRESOL FRONTEIRAS PR\SC\SP|PR|REALEZA
1041|CRESOL HORIZONTE|PR|UNIAO DA VITORIA
1042|AGENCIA CERRO AZUL|PR|CERRO AZUL
1044|AGENCIA CÂNDIDO DE ABREU|PR|CANDIDO DE ABREU
1045|CRESOL VALE DAS ARAUCÁRIAS|PR|GUARAPUAVA
1047|AGENCIA REALEZA|PR|REALEZA
1048|CRESOL LONDRINA|PR|LONDRINA
1049|CRESOL INTEGRAÇÃO|PR|TRES BARRAS DO PAR
1050|CRESOL BELA VISTA DA CAROBA|PR|BELA VISTA DA CARO
1058|AGENCIA SÃO JOÃO|PR|SAO JOAO
1059|AGENCIA BOTUVERA|SC|BOTUVERA
1060|CRESOL TAMBOARA|PR|TAMBOARA
1061|CRESOL NORTE PARANAENSE|PR|GRANDES RIOS
1062|AGENCIA NOVA ESPERANCA SUDESTE|PR|NOVA ESPERANCA DO
1065|AGENCIA SCHROEDER|SC|SCHROEDER
1066|CRESOL ENEAS MARQUES|PR|ENEAS MARQUES
1067|CRESOL UNIAO PLANALTOS|PR|LAPA
1069|CRESOL TRIUNFO|PR|SAO JOAO DO TRIUNF
1072|AGENCIA MEDIANEIRA|PR|MEDIANEIRA
1073|CRESOL CLEVELANDIA|PR|CLEVELANDIA
1074|CRESOL COSTA OESTE|PR|SAO MIGUEL DO IGUA
1075|CRESOL VALE EUROPEU|SC|AGUAS MORNAS
1076|AGENCIA ITUPORANGA|SC|ITUPORANGA
1077|CRESOL AGUAS DE CHAPECO|SC|AGUAS DE CHAPECO
1078|AGENCIA AGROLÂNDIA|SC|AGROLANDIA
1079|AGENCIA RIO BRANCO DO SUL|PR|RIO BRANCO DO SUL
1080|CRESOL MARILENA|PR|MARILENA
1081|AGENCIA IBAITI|PR|IBAITI
1084|AGENCIA ALTO PARANA|PR|ALTO PARANA
1085|AGENCIA SAO JOAO DO ITAPERIU|SC|SAO JOAO DO ITAPER
1086|AGENCIA ARAPONGA|MG|ARAPONGA
1087|AGENCIA JARU|RO|JARU
1088|AGENCIA MINISTRO ANDREAZZA|RO|MINISTRO ANDREAZZA
1089|CRESOL RONDÔNIA|RO|JI-PARANA
1091|CRESOL ESPIRITO SANTO|ES|COLATINA
1092|AGENCIA CAPÃO BONITO|SP|CAPAO BONITO
1093|AGENCIA NOVA VENÉCIA|ES|NOVA VENECIA
1094|CRESOL ZONA DA MATA|MG|TOMBOS
1095|CRESOL MINAS|MG|MURIAE
1097|CRESOL GOIÁS|GO|ORIZONA
1099|CRESERV PINHAO|PR|PINHAO
1501|AGENCIA FLOR DA SERRA DO SUL|PR|FLOR DA SERRA DO S
1502|AGENCIA BOA ESPERANCA IGUACU|PR|BOA ESPERANCA DO I
1503|AGENCIA CRUZEIRO DO IGUACU|PR|CRUZEIRO DO IGUACU
1504|CRESOL PA RIO BONITO DO IGUACU|PR|RIO BONITO DO IGUA
1505|CRESOL PA MARQUINHO|PR|MARQUINHO
1506|CRESOL PA PORTO BARREIRO|PR|PORTO BARREIRO
1507|CRESOL PA NOVA LARANJEIRAS|PR|NOVA LARANJEIRAS
1508|AGENCIA PATO BRANCO|PR|PATO BRANCO
1509|AGENCIA MARIOPOLIS|PR|MARIOPOLIS
1510|AGENCIA SULINA|PR|SULINA
1511|AGENCIA ALTONIA|PR|ALTONIA
1512|AGENCIA LINDOESTE|PR|LINDOESTE
1513|AGENCIA BRAGANEY|PR|BRAGANEY
1514|AGENCIA RIO DA PAZ|CE|CASCAVEL
1515|AGENCIA SANTA TEREZA DO OESTE|PR|SANTA TEREZA DO OE
1516|CRESOL PA RIO DO SALTO|CE|CASCAVEL
1517|AGENCIA NOVA AURORA|PR|NOVA AURORA
1518|AGENCIA QUEDAS DO IGUACU|PR|QUEDAS DO IGUACU
1519|CRESOL PA RESERVA IGUACU|PR|RESERVA DO IGUACU
1520|CRESOL PA BITURUNA|PR|BITURUNA
1521|AGENCIA NOVA TEBAS|PR|NOVA TEBAS
1522|CRESOL PA IRETAMA|PR|IRETAMA
1523|AGENCIA MANOEL RIBAS|PR|MANOEL RIBAS
1524|AGENCIA PINHAL DE SÃO BENTO|PR|PINHAL DE SAO BENT
1525|CRESOL PA GUARAPUAVA|PR|GUARAPUAVA
1526|CRESOL PA SANTA MARIA OESTE|PR|SANTA MARIA DO OES
1527|CRESOL PA CAMPINA DO SIMAO|PR|CAMPINA DO SIMAO
1528|CRESOL PA PALMITAL|SP|PALMITAL
1529|CRESOL PA GOIOXIM|PR|GOIOXIM
1530|CRESOL PA MARATA|SE|SAO DOMINGOS
1531|AGENCIA QUILOMBO|SC|QUILOMBO
1532|AGENCIA NOVO HORIZONTE|SC|NOVO HORIZONTE
1533|AGENCIA JARDINÓPOLIS|SC|JARDINOPOLIS
1534|AGENCIA CAMPO BONITO|PR|CAMPO BONITO
1535|AGENCIA CATANDUVAS|PR|CATANDUVAS
1536|AGÊNCIA BOA VISTA DA APARECIDA|PR|BOA VISTA DA APARE
1537|AGENCIA MARECHAL CANDIDO RONDO|PR|MARECHAL CANDIDO R
1538|AGENCIA PORTO MENDES|PR|MARECHAL CANDIDO R
1539|AGENCIA TOLEDO|PR|TOLEDO
1540|AGENCIA MERCEDES|PR|MERCEDES
1541|CRESOL PA MANFRINOPOLIS|PR|MANFRINOPOLIS
1542|CRESOL PA CANTAGALO|RJ|CANTAGALO
1543|AGENCIA BOM SUCESSO DO SUL|PR|BOM SUCESSO DO SUL
1545|AGENCIA DIAMANTE DO SUL|PR|DIAMANTE DO SUL
1546|AGENCIA ALTAMIRA DO PARANA|PR|ALTAMIRA DO PARANA
1547|AGENCIA ARAPUÃ|PR|ARAPUA
1548|AGENCIA BARBOSA FERRAZ|PR|BARBOSA FERRAZ
1549|AGENCIA MAREMA|SC|MAREMA
1551|AGENCIA OURO|SC|OURO
1552|AGENCIA ABELARDO LUZ|SC|ABELARDO LUZ
1553|CRESOL PA SAO MIGUEL DO OESTE|SC|SAO MIGUEL D'OESTE
1554|AGENCIA PORTO VITÓRIA|PR|PORTO VITORIA
1555|AGENCIA IRATI|PR|IRATI
1556|AGENCIA ANTONIO OLINTO|PR|ANTONIO OLINTO
1557|AGENCIA PAULO FRONTIN|PR|PAULO FRONTIN
1558|AGENCIA REBOUCAS|PR|REBOUCAS
1559|AGENCIA RIO AZUL|PR|RIO AZUL
1560|AGENCIA MORRETES|PR|MORRETES
1561|AGENCIA BOCAIÚVA DO SUL|PR|BOCAIUVA DO SUL
1562|AGENCIA  ITAPERUÇU|PR|ITAPERUCU
1563|AGENCIA RESERVA|PR|RESERVA
1564|AGENCIA BOA VENTURA SÃO ROQUE|PR|BOA VENTURA DE SAO
1565|CRESOL PA GUAMIRANGA|PR|GUAMIRANGA
1566|CRESOL PA IVAI|PR|IVAI
1567|CRESOL PA LIGACAO|PR|PRUDENTOPOLIS
1568|CRESOL PA SAO JERONIMO SERRA|PR|SAO JERONIMO DA SE
1569|AGENCIA NOVA FRIBURGO|RJ|NOVA FRIBURGO
1570|AGENCIA TAMARANA|PR|TAMARANA
1571|CRESOL PA TERESOPOLIS|RJ|TERESOPOLIS
1572|AGENCIA CAP LEONIDAS MARQUES|PR|CAPITAO LEONIDAS M
1573|AGENCIA SANTA HELENA|PR|SANTA HELENA
1574|AGENCIA VERA CRUZ DO OESTE|PR|VERA CRUZ DO OESTE
1575|AGÊNCIA DIAMANTE DO OESTE|PR|DIAMANTE D'OESTE
1578|AGENCIA GUABIRUBA|SC|GUABIRUBA
1579|AGENCIA SÃO JOÃO BATISTA|SC|SAO JOAO BATISTA
1580|AGENCIA VIDAL RAMOS|SC|VIDAL RAMOS
1581|AGENCIA BRUSQUE|SC|BRUSQUE
1582|CRESOL PA NOVA TRENTO|SC|NOVA TRENTO
1583|AGENCIA LEOBERTO LEAL|SC|LEOBERTO LEAL
1584|AGENCIA PARANACITY|PR|PARANACITY
1585|AGENCIA CRUZMALTINA|PR|CRUZMALTINA
1586|AGENCIA BORRAZÓPOLIS|PR|BORRAZOPOLIS
1587|AGENCIA ROSÁRIO DO IVAÍ|PR|ROSARIO DO IVAI
1588|AGENCIA JARAGUA  - SANTA LUZIA|SC|JARAGUA DO SUL
1589|AGENCIA JARAGUÁ DO SUL|SC|JARAGUA DO SUL
1590|AGENCIA CAMPO ALEGRE|SC|CAMPO ALEGRE
1591|AGENCIA BLUMENAU|SC|BLUMENAU
1592|AGENCIA POMERODE|SC|POMERODE
1593|AGENCIA RODEIO|SC|RODEIO
1594|CRESOL PA CONTENDA|PR|CONTENDA
1595|AGENCIA PALMEIRA|PR|PALMEIRA
1596|AGENCIA CASTRO|PR|CASTRO
1597|AGENCIA MATELANDIA|PR|MATELANDIA
1598|AGENCIA SERRANÓPOLIS DO IGUACU|PR|SERRANOPOLIS DO IG
1599|CRESOL STA TEREZINHA DO ITAIPU|PR|SANTA TEREZINHA DE
1600|AGENCIA MISSAL|PR|MISSAL
1601|AGENCIA ANGELINA|SC|ANGELINA
1602|AGENCIA SANTA CRUZ DA FIGUEIRA|SC|AGUAS MORNAS
1603|AGENCIA RANCHO QUEIMADO|SC|RANCHO QUEIMADO
1604|CRESOL PA SAO BONIFACIO|SC|SAO BONIFACIO
1606|AGENCIA STO AMARO IMPERATRIZ|SC|SANTO AMARO DA IMP
1607|AGENCIA PALHOÇA|SC|PALHOCA
1608|AGENCIA TIJUCAS|SC|TIJUCAS
1609|AGENCIA GAROPABA|SC|GAROPABA
1610|AGENCIA IMARUÍ|SC|IMARUI
1611|AGENCIA AURORA|SC|AURORA
1612|AGENCIA CHAPADÃO DO LAGEADO|SC|CHAPADAO DO LAGEAD
1613|AGENCIA PETROLANDIA|SC|PETROLANDIA
1614|AGENCIA CAXAMBU DO SUL|SC|CAXAMBU DO SUL
1615|AGENCIA CUNHATAÍ|SC|CUNHATAI
1616|AGENCIA DE IRACEMINHA|SC|IRACEMINHA
1617|AGENCIA ATALANTA|SC|ATALANTA
1618|CRESOL PA OTACILIO COSTA|SC|OTACILIO COSTA
1619|AGENCIA BRAÇO DO TROMBUDO|SC|BRACO DO TROMBUDO
1620|AGENCIA NOVA ESPERANCA|PR|NOVA ESPERANCA
1621|AGENCIA GOV JORGE TEIXEIRA|RO|GOVERNADOR JORGE T
1622|AGENCIA JARU TARILÂNDIA|RO|JARU
1623|AGENCIA ROLIM DE MOURA|RO|ROLIM DE MOURA
1624|AGENCIA CACOAL|RO|CACOAL
1625|CRESOL PA VILHENA|RO|VILHENA
1626|AGENCIA PRESIDENTE MÉDICI|RO|PRESIDENTE MEDICI
1627|AGENCIA URUPÁ|RO|URUPA
1629|AGENCIA SÃO GABRIEL PALHA|ES|SAO GABRIEL DA PAL
